impulse index,flip angle,pose number,hole number,read stepper y offset,read colibri z offset,start time ms,valve close time ms,capture end time ms,arduino valve open duration ms,target regulator pressure,average actual regulator pressure,average pressure before valve,average force reading,average force 1,average force 2,maximum flow,volume l,nozzle 1 used,nozzle 2 used,nozzle 3 used,nozzle 4 used,valve open sample count,pressure sample count,flow sample count,force baseline n,force baseline standard deviation n,peak force n,time to peak ms,force rise 10-90 ms,force fall 90-10 ms,force fwhm ms,force impulse ns,force plateau mean n,force plateau standard deviation n,actual minus target pressure bar,peak force per actual pressure n per bar,force 1 share percent,force 2 share percent
30,-1,6,1,-1,-1,130065.000,130166.000,130664.988,99.988,2.000,1.969,1.036,0.3480,0.2177,0.1303,190.860,0.462753,1,1,1,1,20,18,100,0.001178,0.000436,0.445196,65.794,10.215,88.420,98.929,0.040854,0.383946,0.032710,-0.025000,0.225416,60.516,39.484
31,-1,6,1,-1,-1,137065.000,137166.000,137664.996,99.996,2.100,2.057,1.056,0.3668,0.2288,0.1380,190.860,0.472630,1,1,1,1,20,18,100,0.000939,0.000608,0.472329,65.098,10.359,87.896,98.816,0.042604,0.404445,0.035252,-0.022000,0.227300,60.277,39.723
32,-1,6,1,-1,-1,139065.000,139166.000,139664.992,99.992,2.100,2.057,1.064,0.3666,0.2289,0.1377,190.860,0.470838,1,1,1,1,20,18,100,0.000959,0.000292,0.471423,67.068,11.234,88.130,99.652,0.042956,0.407240,0.033816,-0.037000,0.228514,60.381,39.619
33,-1,6,1,-1,-1,141065.000,141166.000,141665.000,100.000,2.100,2.051,1.044,0.3678,0.2290,0.1388,190.860,0.471624,1,1,1,1,20,18,100,0.000897,0.000360,0.475208,65.285,10.194,88.163,98.755,0.042599,0.406792,0.035330,-0.043500,0.231076,60.205,39.795
34,-1,6,1,-1,-1,143065.000,143166.000,143664.996,99.996,2.100,2.054,1.057,0.3655,0.2280,0.1376,190.860,0.471959,1,1,1,1,20,18,100,0.001194,0.000411,0.469375,67.035,11.030,88.274,99.837,0.042975,0.407831,0.033867,-0.039500,0.227796,59.989,40.011
35,-1,6,1,-1,-1,145065.000,145167.000,145665.008,100.008,2.100,2.054,1.072,0.3658,0.2279,0.1379,191.100,0.471819,1,1,1,1,20,18,100,0.001055,0.000625,0.470519,63.700,10.134,88.286,98.958,0.043542,0.403774,0.033153,-0.040500,0.228463,60.262,39.738
36,-1,6,1,-1,-1,152065.000,152167.000,152665.008,100.008,2.200,2.180,1.118,0.3889,0.2408,0.1481,190.860,0.480941,1,1,1,1,20,18,100,0.001070,0.000353,0.500672,65.342,9.893,88.391,98.997,0.045448,0.431814,0.034581,-0.011429,0.228767,59.848,40.152
37,-1,6,1,-1,-1,154065.000,154167.000,154665.000,100.000,2.200,2.154,1.104,0.3817,0.2376,0.1442,190.860,0.481460,1,1,1,1,20,18,100,0.001102,0.000362,0.504719,66.158,11.368,88.186,99.797,0.045610,0.435329,0.036520,-0.039000,0.233558,59.852,40.148
38,-1,6,1,-1,-1,156065.000,156167.000,156665.000,100.000,2.200,2.158,1.117,0.3871,0.2402,0.1468,190.860,0.481412,1,1,1,1,20,18,100,0.000926,0.000462,0.502410,56.095,10.296,88.118,98.957,0.045146,0.426415,0.034352,-0.033636,0.231914,60.403,39.597
39,-1,6,1,-1,-1,158065.000,158167.000,158664.996,99.996,2.200,2.154,1.103,0.3863,0.2401,0.1462,190.860,0.480373,1,1,1,1,20,18,100,0.001082,0.000431,0.500620,67.027,11.202,88.159,99.589,0.045376,0.432523,0.036256,-0.039500,0.231715,59.941,40.059
40,-1,6,1,-1,-1,160065.000,160166.000,160664.984,99.984,2.200,2.158,1.099,0.3802,0.2365,0.1438,190.620,0.481944,1,1,1,1,20,18,100,0.001055,0.000549,0.503954,65.034,10.451,88.170,99.272,0.046216,0.433692,0.035604,-0.035000,0.232773,59.824,40.176
41,-1,6,1,-1,-1,167065.000,167166.000,167664.996,99.996,2.300,2.263,1.146,0.3962,0.2454,0.1508,190.860,0.489708,1,1,1,1,20,18,100,0.001063,0.000493,0.521639,67.587,10.193,87.972,99.215,0.047545,0.456224,0.035433,0.010000,0.225818,59.498,40.502
42,-1,6,1,-1,-1,169065.000,169166.000,169665.000,100.000,2.300,2.263,1.170,0.4008,0.2481,0.1528,190.860,0.489415,1,1,1,1,20,18,100,0.001035,0.000347,0.532956,65.634,10.979,88.294,99.042,0.047533,0.457338,0.037936,-0.031000,0.234886,59.532,40.468
43,-1,6,1,-1,-1,171065.000,171166.000,171664.984,99.984,2.300,2.260,1.149,0.3976,0.2459,0.1517,190.860,0.492152,1,1,1,1,20,18,100,0.000949,0.000314,0.532754,65.019,10.824,87.950,99.146,0.048026,0.455062,0.037906,-0.032381,0.234940,59.677,40.323
44,-1,6,1,-1,-1,173065.000,173166.000,173664.996,99.996,2.300,2.259,1.149,0.3942,0.2446,0.1496,190.860,0.490556,1,1,1,1,20,18,100,0.001061,0.000353,0.529578,65.849,10.393,88.305,99.162,0.047851,0.458915,0.037746,-0.035500,0.233861,59.515,40.485
45,-1,6,1,-1,-1,175065.000,175166.000,175664.992,99.992,2.300,2.261,1.157,0.3939,0.2445,0.1494,190.860,0.491297,1,1,1,1,20,18,100,0.001138,0.000427,0.532287,65.213,10.999,88.423,99.587,0.048681,0.457691,0.039434,-0.031429,0.234635,59.647,40.353
46,-1,6,1,-1,-1,182065.000,182166.000,182664.996,99.996,2.400,2.369,1.217,0.4117,0.2542,0.1575,190.860,0.499263,1,1,1,1,20,18,100,0.001092,0.000376,0.561240,67.887,10.975,88.117,99.441,0.050547,0.485625,0.039137,-0.020000,0.235815,59.177,40.823
47,-1,6,1,-1,-1,184065.000,184167.000,184664.980,99.980,2.400,2.378,1.197,0.4132,0.2545,0.1587,190.620,0.498042,1,1,1,1,20,18,100,0.001250,0.000573,0.565965,66.216,10.073,88.317,98.863,0.050514,0.486436,0.041696,-0.017500,0.237551,59.138,40.862
48,-1,6,1,-1,-1,186065.000,186167.000,186665.004,100.004,2.400,2.383,1.216,0.4151,0.2552,0.1599,190.860,0.501199,1,1,1,1,20,18,100,0.001201,0.000517,0.570620,60.133,11.166,88.038,99.274,0.050900,0.482043,0.042339,-0.009091,0.238662,59.481,40.519
49,-1,6,1,-1,-1,188065.000,188167.000,188665.000,100.000,2.400,2.376,1.208,0.4117,0.2534,0.1583,190.860,0.499349,1,1,1,1,20,18,100,0.001056,0.000400,0.564831,66.085,10.296,88.316,98.940,0.050713,0.487721,0.038952,-0.018000,0.237125,59.116,40.884
50,-1,6,1,-1,-1,190065.000,190167.000,190664.992,99.992,2.400,2.376,1.201,0.4157,0.2558,0.1599,190.370,0.499592,1,1,1,1,20,18,100,0.001094,0.000753,0.569061,67.954,11.102,88.263,99.391,0.052138,0.490700,0.042508,-0.018000,0.238901,59.042,40.958
51,-1,6,1,-1,-1,197065.000,197167.000,197664.996,99.996,2.500,2.491,1.249,0.4291,0.2622,0.1669,190.620,0.507065,1,1,1,1,20,18,100,0.001096,0.000320,0.593002,67.888,11.096,88.119,99.502,0.053928,0.515098,0.040885,0.008333,0.236413,58.524,41.476
52,-1,6,1,-1,-1,199065.000,199166.000,199665.000,100.000,2.500,2.505,1.273,0.4360,0.2658,0.1702,190.620,0.510888,1,1,1,1,20,18,100,0.001025,0.000530,0.603870,66.009,10.528,88.292,98.837,0.053868,0.516874,0.041854,0.009500,0.240634,58.604,41.396
53,-1,6,1,-1,-1,201065.000,201166.000,201665.000,100.000,2.500,2.504,1.257,0.4326,0.2640,0.1686,190.620,0.510097,1,1,1,1,20,18,100,0.001099,0.000298,0.607083,66.681,11.011,88.391,99.271,0.054224,0.521023,0.044279,0.009500,0.241914,58.480,41.520
54,-1,6,1,-1,-1,203065.000,203166.000,203664.996,99.996,2.500,2.501,1.267,0.4352,0.2651,0.1701,190.860,0.509825,1,1,1,1,20,18,100,0.001055,0.000346,0.597481,66.024,10.248,88.157,98.987,0.054083,0.519801,0.041011,0.005000,0.238515,58.455,41.545
55,-1,6,1,-1,-1,205065.000,205166.000,205664.984,99.984,2.500,2.502,1.243,0.4342,0.2644,0.1699,190.860,0.510475,1,1,1,1,20,18,100,0.001150,0.000423,0.602247,67.738,10.639,88.238,99.163,0.054988,0.519663,0.044974,0.006500,0.240274,58.430,41.570
56,-1,6,1,-1,-1,212065.000,212166.000,212664.984,99.984,2.600,2.597,1.304,0.4464,0.2708,0.1756,190.620,0.516248,1,1,1,1,20,18,100,0.000917,0.000396,0.628765,67.285,11.170,87.958,99.228,0.056754,0.543124,0.045690,0.014286,0.240511,58.156,41.844
57,-1,6,1,-1,-1,214065.000,214167.000,214665.000,100.000,2.600,2.590,1.303,0.4461,0.2702,0.1759,190.620,0.516480,1,1,1,1,20,18,100,0.001013,0.000303,0.621130,66.186,10.422,88.255,99.171,0.056450,0.537057,0.044833,-0.004762,0.239334,58.156,41.844
58,-1,6,1,-1,-1,216065.000,216167.000,216665.004,100.004,2.600,2.587,1.288,0.4480,0.2714,0.1766,190.620,0.515330,1,1,1,1,20,18,100,0.001067,0.000424,0.630956,67.121,10.910,88.573,98.933,0.056323,0.538919,0.049019,-0.008000,0.243424,58.122,41.878
59,-1,6,1,-1,-1,218065.000,218167.000,218665.000,100.000,2.600,2.584,1.296,0.4455,0.2704,0.1750,190.370,0.514689,1,1,1,1,20,18,100,0.001051,0.000330,0.623129,66.129,10.736,88.068,99.197,0.056339,0.538695,0.043728,-0.008571,0.240458,58.237,41.763
60,-1,6,1,-1,-1,220065.000,220167.000,220665.000,100.000,2.600,2.585,1.284,0.4486,0.2715,0.1771,190.620,0.515392,1,1,1,1,20,18,100,0.001009,0.000480,0.623832,67.467,10.215,88.360,99.068,0.057405,0.539224,0.043742,-0.010000,0.240862,58.081,41.919
61,-1,6,1,-1,-1,227065.000,227167.000,227664.996,99.996,2.700,2.710,1.361,0.4689,0.2816,0.1873,190.370,0.523748,1,1,1,1,20,18,100,0.000889,0.000421,0.663496,58.153,10.381,88.203,98.996,0.059864,0.563327,0.046426,0.021000,0.243843,58.239,41.761
62,-1,6,1,-1,-1,229065.000,229167.000,229665.008,100.008,2.700,2.707,1.366,0.4709,0.2828,0.1880,190.860,0.523726,1,1,1,1,20,18,100,0.001061,0.000593,0.661509,68.400,11.060,88.357,99.257,0.059396,0.571979,0.048163,0.011000,0.244009,57.629,42.371
63,-1,6,1,-1,-1,231065.000,231166.000,231665.004,100.004,2.700,2.707,1.359,0.4713,0.2825,0.1888,190.620,0.523314,1,1,1,1,20,18,100,0.000948,0.000392,0.657891,66.640,10.338,88.156,99.029,0.059564,0.569486,0.044730,0.012000,0.242585,57.736,42.264
